task_id,model_id,category,text,tool_call,response,task_name,label,details
"dom1_pl_lights_lights-dining_room_light_off-0","needle3","light","Dining room light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Dining Room Light', 'area': 'Dining Room', 'device_class': ['blind']}}","Done.","eval-test_expected_states","Bad","AssertionError: assert not {'light.dining_room_light': {'expected': {'brightness': None, 'color_mode': None, 'state': 'off'}, 'got': {'brightness': 100, 'color_mode': 'brightness', 'state': 'on'}}}"
"dom1_pl_lights_lights-dining_room_light_off-1","needle3","light","Dining room light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Dining Room Light', 'area': 'Dining Room', 'device_class': ['blind']}}","Done.","eval-test_expected_states","Bad","AssertionError: assert not {'light.dining_room_light': {'expected': {'brightness': None, 'color_mode': None, 'state': 'off'}, 'got': {'brightness': 100, 'color_mode': 'brightness', 'state': 'on'}}}"
"dom1_pl_lights_lights-dining_room_light_off-2","needle3","light","Dining room light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Dining Room Light', 'area': 'Dining Room', 'device_class': ['blind']}}","Done.","eval-test_expected_states","Bad","AssertionError: assert not {'light.dining_room_light': {'expected': {'brightness': None, 'color_mode': None, 'state': 'off'}, 'got': {'brightness': 100, 'color_mode': 'brightness', 'state': 'on'}}}"
"dom1_pl_lights_lights-dining_room_light_off-3","needle3","light","Dining room light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Dining Room Light', 'area': 'Dining Room', 'device_class': ['blind']}}","Done.","eval-test_expected_states","Bad","AssertionError: assert not {'light.dining_room_light': {'expected': {'brightness': None, 'color_mode': None, 'state': 'off'}, 'got': {'brightness': 100, 'color_mode': 'brightness', 'state': 'on'}}}"
"dom1_pl_lights_lights-kitchen_light_off-0","needle3","light","Kitchen light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Kitchen light', 'area': 'Kitchen', 'device_class': ['blind']}}","Done.","eval-test_expected_states","Bad","AssertionError: assert not {'light.kitchen_light': {'expected': {'brightness': None, 'color_mode': None, 'state': 'off'}, 'got': {'brightness': 100, 'color_mode': 'brightness', 'state': 'on'}}}"
"dom1_pl_lights_lights-kitchen_light_off-1","needle3","light","Kitchen light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Kitchen light', 'area': 'Kitchen', 'device_class': ['blind']}}","Done.","eval-test_expected_states","Bad","AssertionError: assert not {'light.kitchen_light': {'expected': {'brightness': None, 'color_mode': None, 'state': 'off'}, 'got': {'brightness': 100, 'color_mode': 'brightness', 'state': 'on'}}}"
"dom1_pl_lights_lights-kitchen_light_off-2","needle3","light","Kitchen light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Kitchen light', 'area': 'Kitchen', 'device_class': ['blind']}}","Done.","eval-test_expected_states","Bad","AssertionError: assert not {'light.kitchen_light': {'expected': {'brightness': None, 'color_mode': None, 'state': 'off'}, 'got': {'brightness': 100, 'color_mode': 'brightness', 'state': 'on'}}}"
"dom1_pl_lights_lights-kitchen_light_off-3","needle3","light","Kitchen light off","{'tool_name': 'intent__HassTurnOff', 'tool_args': {'name': 'Kitchen light', 'area': 'Kitchen', 'device_class': ['blind']}}","Done.","eval-test_expected_states","Bad","AssertionError: assert not {'light.kitchen_light': {'expected': {'brightness': None, 'color_mode': None, 'state': 'off'}, 'got': {'brightness': 100, 'color_mode': 'brightness', 'state': 'on'}}}"
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light-0","needle3","light","Please turn on the kitchen light","{'tool_name': 'intent__HassTurnOn', 'tool_args': {'name': 'kitchen light', 'area': 'kitchen'}}","Done.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light-1","needle3","light","Please turn on the kitchen light","{'tool_name': 'intent__HassTurnOn', 'tool_args': {'name': 'kitchen light', 'area': 'kitchen'}}","Done.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light-2","needle3","light","Please turn on the kitchen light","{'tool_name': 'intent__HassTurnOn', 'tool_args': {'name': 'kitchen light', 'area': 'kitchen'}}","Done.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light-3","needle3","light","Please turn on the kitchen light","{'tool_name': 'homeassistant__GetLiveContext', 'tool_args': {'name': 'kitchen light', 'area': 'kitchen'}}","Done.","eval-test_expected_states","Bad","AssertionError: assert not {'light.kitchen_light': {'expected': {'brightness': 0, 'color_mode': 'brightness', 'state': 'on'}, 'got': {'brightness': None, 'color_mode': None, 'state': 'off'}}}"
"dom1_pl_lights_lights-turn_on_the_backyard_light-0","needle3","light","Turn on the Backyard light","{'tool_name': 'homeassistant__GetLiveContext', 'tool_args': {'name': 'Backyard light', 'area': 'Backyard'}}","Done.","eval-test_expected_states","Bad","AssertionError: assert not {'light.garden_light': {'expected': {'brightness': 0, 'color_mode': 'brightness', 'state': 'on'}, 'got': {'brightness': None, 'color_mode': None, 'state': 'off'}}}"
"dom1_pl_lights_lights-turn_on_the_backyard_light-1","needle3","light","Turn on the Backyard light","{'tool_name': 'homeassistant__GetLiveContext', 'tool_args': {'name': 'Backyard light', 'area': 'Backyard'}}","Done.","eval-test_expected_states","Bad","AssertionError: assert not {'light.garden_light': {'expected': {'brightness': 0, 'color_mode': 'brightness', 'state': 'on'}, 'got': {'brightness': None, 'color_mode': None, 'state': 'off'}}}"
